record_id,name_code,web_site,genus,subgenus,species,infraspecies_parent_name_code,infraspecies,infraspecies_marker,author,accepted_name_code,comment,scrutiny_date,sp2000_status_id,database_id,specialist_id,family_id,specialist_code,family_code,is_accepted_name,gsdtaxonguid,gsdnameguid,is_extinct,has_preholocene,has_modern,reference_year,ref_source,as_authors,as_edition,as_journal,as_note,as_pages,as_volume,as_year
9431,5922f719-eaab-4ac6-9667-26be6fb06b5d,\N,Hypodermella,\N,nervisequa,\N,\N,\N,"(DC.) Lagerb., 1910",024aeeb2-840e-4cb2-b146-7336fbb71edc,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1910,In: Meddn St. SkogsförsAnst. 7:148.,K.E.T. Lagerberg,\N,Meddn St. SkogsförsAnst.,\N,148,7,1910
9432,cdbe4b33-f6a8-4a08-a8f6-8395e0cfdce8,\N,Lophoderma,\N,nervisequum,\N,\N,\N,"(DC.) Chevall., 1822",024aeeb2-840e-4cb2-b146-7336fbb71edc,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1822,In: J. Phys. Chim. Hist. nat. Arts 94:31.,F.F. Chevallier,\N,J. Phys. Chim. Hist. nat. Arts,\N,31,94,1822
9433,5562582b-61a7-43a4-816e-edeefe9b2ec6,\N,Hypoderma,\N,nervisequum,\N,\N,\N,"(DC.) Fr., 1861",024aeeb2-840e-4cb2-b146-7336fbb71edc,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1861,In: Mém. Soc. Phys. Hist. nat. Genève 16(1):54.,J.É. Duby,\N,Mém. Soc. Phys. Hist. nat. Genève,\N,54,16(1),1861
9434,72cbe1e3-5c63-45a6-99b4-5e25ecb1e94f,\N,Schizoderma,\N,nervisequum,\N,\N,\N,"(DC.) Duby, 1830",024aeeb2-840e-4cb2-b146-7336fbb71edc,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1830,"In: Bot. Gall., Edn 2 (Paris) 2:885.",J.É. Duby,Edn 2 (Paris),"Bot. Gall.,",\N,885,2,1830
9435,ecd955b1-8ca6-41f0-9d31-5e77c75d3c88,\N,Hypodermella,\N,abietis-concoloris,\N,\N,\N,"(Mayr) Dearn., 1924",5f5a4467-5f21-4566-94d4-fecdf4585163,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1924,In: Mycologia 16(4):150.,J. Dearness,\N,Mycologia,\N,150,16(4),1924
9436,0cb4275e-3091-4bb5-bf0c-6142660a87d9,\N,Lophodermium,\N,abietis-concoloris,\N,\N,\N,"Mayr, 1890",5f5a4467-5f21-4566-94d4-fecdf4585163,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1890,In: Die Waldungen von Nordamerika:336.,H. Mayr,\N,\N,\N,336,\N,1890
9437,bbb6aa5d-fc8d-45d5-abbd-a0c85ee25b74,\N,Lophodermium,\N,macrosporum,\N,\N,\N,"(R. Hartig) Rehm, 1887",787d2679-0099-4328-a1c7-dab228d2e828,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1887,"In: Rabenh. Krypt.-Fl., Edn 2 (Leipzig) 1.3(lief. 28):45.",Winter,Edn 2,"Rabenh. Krypt.-Fl.,",\N,45,(Leipzig) 1.3(lief. 28),1887
9438,7977e980-5f57-4ded-ad5b-3f243fafc06e,\N,Lophodermellina,\N,macrospora,\N,\N,\N,"(R. Hartig) Tehon, 1935",787d2679-0099-4328-a1c7-dab228d2e828,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1935,In: Illinois Biol. Monogr. (Urbana) 13(no. 4):76.,L.R. Tehon,\N,Illinois Biol. Monogr. (Urbana),\N,76,13(no. 4),1935
9439,08669219-01a4-4868-a67a-1458f57f15b4,\N,Hypodermina,\N,hartigii,\N,\N,\N,"Hilitzer, 1929",787d2679-0099-4328-a1c7-dab228d2e828,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1929,In: V?d. Spisy ?sl. Akad. zem?d. 3:57.,A.C. Hilitzer,\N,V?d. Spisy ?sl. Akad. zem?d.,\N,57,3,1929
9440,96e7161d-e9e0-4a3e-806a-bf88459b5c42,\N,Dermascia,\N,filiformis,\N,\N,\N,"(Darker) Tehon, 1935",787d2679-0099-4328-a1c7-dab228d2e828,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1935,In: Illinois Biol. Monogr. (Urbana) 13(no. 4):66.,L.R. Tehon,\N,Illinois Biol. Monogr. (Urbana),\N,66,13(no. 4),1935
