name_code,name,rank,estimate,source,inserted,updated
74093ab7-8b1b-4f54-83ec-5e9340ad608b,Aspleniaceae,FAMILY,720,\N,2015-10-20 23:49:13,\N
4b275f07-d289-4bd3-a203-9ad1eff4908e,Athyriaceae,FAMILY,730,\N,2015-10-20 23:49:27,\N
0d133972-42bf-4b5a-852e-60a5974c8732,Blechnaceae,FAMILY,250,\N,2015-10-20 23:49:45,\N
0dfc39ea-5b4d-4807-8957-01af16882538,Cystopteridaceae,FAMILY,38,\N,2015-10-20 23:49:57,\N
23877be2-87c1-471e-9873-ef99917a663b,Davalliaceae,FAMILY,50,\N,2015-10-20 23:50:22,\N
07a02f8a-ee17-4402-af3a-fa21951e9176,Dennstaedtiaceae,FAMILY,240,\N,2015-10-20 23:50:50,\N
f2a513a1-92fb-4148-8fd8-203fd3019402,Diplaziopsidaceae,FAMILY,3,\N,2015-10-20 23:51:04,\N
3b8c8d20-6629-45a5-9843-b44df57c0bac,Dryopteridaceae,FAMILY,2100,\N,2015-10-20 23:51:22,\N
9932a4ec-14e7-4df5-8a77-1cb94a58fa23,Hemidictyaceae,FAMILY,1,\N,2015-10-20 23:51:43,\N
d5193da9-591e-4ec7-a7e1-896ddb7be4ff,Hypodematiaceae,FAMILY,16,\N,2015-10-20 23:51:58,\N
8f3d505b-8018-4ac2-96f6-c16024141104,Lindsaeaceae,FAMILY,230,\N,2015-10-20 23:52:17,\N
346515e8-3d18-46de-970d-96226156e7bd,Lomariopsidaceae,FAMILY,55,\N,2015-10-20 23:52:47,\N
94f546ab-843a-40e0-9506-4b3c0d595fa3,Lonchitidaceae,FAMILY,3,\N,2015-10-20 23:53:04,\N
0185209b-2e7a-4366-b1a7-db514b4e15e0,Nephrolepidaceae,FAMILY,40,\N,2015-10-20 23:53:19,\N
cc1088d0-1858-4ed2-8803-53efb8ecc5cb,Oleandraceae,FAMILY,18,\N,2015-10-20 23:53:35,\N
fdaccaca-450d-421e-94d2-132d2220e402,Onocleaceae,FAMILY,5,\N,2015-10-20 23:53:51,\N
121dbf81-db8b-4895-8c53-f14fc7610e71,Polypodiaceae,FAMILY,1650,\N,2015-10-20 23:54:07,2016-01-04 23:48:23
bae4a6b6-f104-476e-940a-e8c4149fb30f,Pteridaceae,FAMILY,1320,\N,2015-10-20 23:54:25,\N
a1c38d99-495f-4b8f-9825-52235e9dc007,Rhachidosoridaceae,FAMILY,6,\N,2015-10-20 23:54:47,\N
1191bf15-16c5-401f-a37f-6a29a955c5a4,Saccolomataceae,FAMILY,24,\N,2015-10-20 23:55:01,\N
a04514f2-3474-464f-a854-36d1e6f71b64,Tectariaceae,FAMILY,300,\N,2015-10-20 23:55:18,\N
d80fcba9-0321-465e-bba2-fef29d34e267,Thelypteridaceae,FAMILY,1200,\N,2015-10-20 23:55:35,\N
02ec2017-7c36-406d-abc5-e93aea1e2d86,Woodsiaceae,FAMILY,50,\N,2015-10-20 23:55:53,\N
fc11c169-ef6f-49ea-ad54-55ea669958a5,Geranium,GENUS,325,\N,2015-10-22 17:46:52,\N
b1b440d2-912e-42f1-9e5f-f552f163b341,Erodium,GENUS,75,\N,2015-10-22 17:47:19,\N
b7a3b89e-ca23-468c-b08f-e176846c7e2c,Pelargonium,GENUS,300,\N,2015-10-22 17:47:48,\N
1a938644-5c38-48cd-9421-2382dfd90501,Geraniaceae,FAMILY,740,\N,2015-10-22 17:50:03,\N
fe470e22-dbbb-44e9-a2fc-a88971260a13,Myxini,CLASS,70,\N,2015-10-22 18:11:46,\N
ffdc0b96-ee81-45f7-951e-11ea6eda9e88,Myxiniformes,ORDER,70,\N,2015-10-22 18:12:24,\N
7218ce01-247e-43d2-b523-87798bf5e09c,Cephalaspidomorphi,CLASS,38,\N,2015-10-22 18:14:03,\N
ac186889-96a3-4803-97d9-1a8747fc2b25,Petromyzontiformes,ORDER,38,\N,2015-10-22 18:14:16,\N
0c5d93f1-2242-4432-ac0d-d465cf6db4e0,Holocephali,CLASS,33,\N,2015-10-22 18:16:08,\N
12fe357d-36a8-495d-9031-78ba76e5ba1c,Chimaeriformes,ORDER,33,\N,2015-10-22 18:16:21,\N
839cf93d-8b20-4628-9e50-b7917eeb5514,Heterodontiformes,ORDER,8,\N,2015-10-22 18:17:31,\N
d699489a-f1bb-4c5e-9076-74add543cfdc,Orectolobiformes,ORDER,32,\N,2015-10-22 18:17:56,\N
d699489a-f1bb-4c5e-9076-74add543cfdc,Orectolobiformes,ORDER,32,\N,2015-10-22 18:18:18,\N
202c8fe9-49df-4248-bc9c-9f3992deba79,Lamniformes,ORDER,15,\N,2015-10-22 18:18:37,\N
d594495e-40dd-4b63-8030-bc787c6f5731,Carcharhiniformes,ORDER,224,\N,2015-10-22 18:18:57,\N
a68afbad-71f7-4714-a080-b4d549700573,Hexanchiformes,ORDER,5,\N,2015-10-22 18:19:10,\N
3cc7fbc1-4091-4443-a1ea-aaa7c298d481,Squaliformes,ORDER,97,\N,2015-10-22 18:22:08,\N
c5969e1d-63b3-48a9-af28-d912304059f7,Squatiniformes,ORDER,15,\N,2015-10-22 18:22:43,\N
043aef55-e34b-42cf-ac27-2939a3fb51fa,Pristiophoriformes,ORDER,5,\N,2015-10-22 18:23:01,\N
33b53113-9a57-4319-aea6-24a256e1b4bd,Torpediniformes,ORDER,59,\N,2015-10-22 18:23:22,\N
d54c39df-b787-4b57-9c4d-a593de2e7b5f,Rajiformes,ORDER,285,\N,2015-10-22 18:24:04,\N
66c3cb18-abf4-4034-b6d9-ecf550dc9f01,Myliobatiformes,ORDER,183,\N,2015-10-22 18:24:22,\N
790f0506-16ee-4b3d-8222-203624b13643,Polypteriformes,ORDER,16,\N,2015-10-22 18:25:32,\N
453b8807-91ef-48f2-850a-f2b299cc5ce7,Acipenseriformes,ORDER,27,\N,2015-10-22 18:25:52,\N
736455e2-c2c8-4301-a861-b038a2335ece,Lepisosteiformes,ORDER,7,\N,2015-10-22 18:26:15,\N
2e7708fb-4d1f-447b-b001-206d1e5c54ea,Amiiformes,ORDER,1,\N,2015-10-22 18:26:30,\N
a7dbbf0f-8a9b-40a6-be7f-6eb1cd680ee2,Osteoglossiformes,ORDER,218,\N,2015-10-22 18:27:39,\N
6836d7d2-32f1-4dac-ba3f-f05265e86ec9,Elopiformes,ORDER,8,\N,2015-10-22 18:28:02,\N
7a994d7a-dbf9-4141-acb8-34fd7c06a3e4,Albuliformes,ORDER,30,\N,2015-10-22 18:28:19,\N
37ff8e39-d94a-45ef-abb4-59b3a6171812,Anguilliformes,ORDER,791,\N,2015-10-22 18:28:37,\N
