8595,46e09ef6-b4f5-47ec-812e-5b67d41ec47d,https://www.biodiversitylibrary.org/page/2216190,Propolidium,\N,ambiguum,\N,\N,\N,"Starbäck, 1895",46e09ef6-b4f5-47ec-812e-5b67d41ec47d,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1895,"In: Bih. K. svenska VetenskAkad. Handl., Afd. 3 21(no. 1):19.",K. Starbäck,\N,"Bih. K. svenska VetenskAkad. Handl., Afd.",\N,19,3 21(no. 1),1895
8596,2f79cf6b-e5b0-4ab6-a32f-1cc8cbaf0c16,https://www.biodiversitylibrary.org/page/15416682,Haplophyse,\N,oahuensis,\N,\N,\N,"Theiss., 1916",2f79cf6b-e5b0-4ab6-a32f-1cc8cbaf0c16,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1916,In: Annls mycol. 14(3/4):267.,F. Theissen,\N,\N,\N,267,14(3/4),1916
8597,4b985812-b28e-4d0f-8894-53a2eb8c3148,https://www.biodiversitylibrary.org/page/2224062,Bonanseja,\N,mexicana,\N,\N,\N,"Sacc., 1906",4b985812-b28e-4d0f-8894-53a2eb8c3148,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1906,In: J. Mycol. 12(2):51.,P.A. Saccardo,\N,J. Mycol.,\N,51,12(2),1906
8598,7e1cbc15-9d75-419b-b9d1-818113cb0ef5,https://www.biodiversitylibrary.org/page/670378,Pseudorhytisma,\N,bistortae,\N,\N,\N,"(DC.) Juel, 1894",7e1cbc15-9d75-419b-b9d1-818113cb0ef5,\N,2017-10-27,1,25,12,8494,\N,1454f443-d8e6-4868-b848-b08591a6e284,1,\N,\N,0,0,0,1894,In: Öfvers. K. Svensk. Vetensk.-Akad. Förhandl. 51(no. 9):499.,H.O. Juel,\N,Öfvers. K. Svensk. Vetensk.-Akad. Förhandl.,\N,499,51(no. 9),1894
8600,b1cc62a1-7019-41a5-b8eb-d8c11001b3e8,https://www.biodiversitylibrary.org/page/365594,Macroderma,\N,curtisii,\N,\N,\N,"(Berk. & Ravenel) Höhn., 1917",b1cc62a1-7019-41a5-b8eb-d8c11001b3e8,\N,2017-10-27,1,25,12,8494,\N,1454f443-d8e6-4868-b848-b08591a6e284,1,\N,\N,0,0,0,1917,In: Ber. dt. bot. Ges. 35:422.,"Höhnel, F.X.R. von",\N,Ber. dt. bot. Ges.,\N,422,35,1917
8601,27190bb0-7166-4f28-b505-e2ceb1a10499,https://www.biodiversitylibrary.org/page/56898391,Potebniamyces,\N,pyri,\N,\N,\N,"(Berk. & Broome) Dennis, 1978",27190bb0-7166-4f28-b505-e2ceb1a10499,\N,2017-10-27,1,25,5,8494,\N,1454f443-d8e6-4868-b848-b08591a6e284,1,\N,\N,0,0,0,1978,"In: British Ascomycetes, Rev. Edn (Vaduz):231.",R.W.G. Dennis,\N,"British Ascomycetes, Rev. Edn (Vaduz):",\N,231,\N,1978
8602,ff12250c-3bb3-4e24-8872-6d3eba337286,https://www.biodiversitylibrary.org/page/45651630,Potebniamyces,\N,balsamicola,\N,\N,\N,"Smerlis, 1962",ff12250c-3bb3-4e24-8872-6d3eba337286,\N,2017-10-27,1,25,5,8494,\N,1454f443-d8e6-4868-b848-b08591a6e284,1,\N,\N,0,0,0,1962,In: Can. J. Bot. 40:352.,E. Smerlis,\N,Can. J. Bot.,\N,352,40,1962
8606,794f457e-4f44-47aa-be55-49f862e4639b,https://www.biodiversitylibrary.org/page/39153943,Cryptomyces,\N,maximus,\N,\N,\N,"(Fr.) Rehm, 1888",794f457e-4f44-47aa-be55-49f862e4639b,\N,2017-10-27,1,25,12,8494,\N,1454f443-d8e6-4868-b848-b08591a6e284,1,\N,\N,0,0,0,1888,"In: Rabenh. Krypt.-Fl., Edn 2 (Leipzig) 1.3(lief. 29):107.",Winter,Edn 2,"Rabenh. Krypt.-Fl.,",\N,107,(Leipzig) 1.3(lief. 29),1888
8612,8d7d0bf0-1184-455b-a18a-75bd3f8acc8a,https://www.biodiversitylibrary.org/page/14091267,Phragmiticola,\N,phragmitis,\N,\N,\N,"(Dearn. & House) Magnes, 1997",8d7d0bf0-1184-455b-a18a-75bd3f8acc8a,\N,2017-10-27,1,25,5,8495,\N,1f4cce8f-ac9b-4d21-b03d-14597f2f4d4c,1,\N,\N,0,0,0,1997,In: Biblthca Mycol. 165:118.,M. Magnes,\N,\N,\N,118,165,1997
8615,de00679a-3152-4411-857d-67135ac16131,https://www.biodiversitylibrary.org/page/42184800,Marthamyces,\N,emarginatus,\N,\N,\N,"(Cooke & Massee) Minter, 2003",de00679a-3152-4411-857d-67135ac16131,\N,2017-10-27,1,25,12,8495,\N,1f4cce8f-ac9b-4d21-b03d-14597f2f4d4c,1,\N,\N,0,0,0,2003,In: Mycotaxon 87:51.,D.W. Minter,\N,\N,\N,51,87,2003
8618,cbdc2d0b-bd6c-46a6-abe0-ee7895603df0,https://www.biodiversitylibrary.org/page/35614033,Marthamyces,\N,quercifolius,\N,\N,\N,"(Cooke & Ellis) Minter, 2003",cbdc2d0b-bd6c-46a6-abe0-ee7895603df0,\N,2017-10-27,1,25,12,8495,\N,1f4cce8f-ac9b-4d21-b03d-14597f2f4d4c,1,\N,\N,0,0,0,2003,In: Mycotaxon 87:52.,D.W. Minter,\N,\N,\N,52,87,2003
8619,fcdf500b-9df3-4b70-8645-d37f22c80538,https://www.biodiversitylibrary.org/page/44525178,Marthamyces,\N,quadrifidus,\N,\N,\N,"(Lév.) Minter, 2003",fcdf500b-9df3-4b70-8645-d37f22c80538,\N,2017-10-27,1,25,12,8495,\N,1f4cce8f-ac9b-4d21-b03d-14597f2f4d4c,1,\N,\N,0,0,0,2003,In: Mycotaxon 87:52.,D.W. Minter,\N,\N,\N,52,87,2003
