record_id,name_code,web_site,genus,subgenus,species,infraspecies_parent_name_code,infraspecies,infraspecies_marker,author,accepted_name_code,comment,scrutiny_date,sp2000_status_id,database_id,specialist_id,family_id,specialist_code,family_code,is_accepted_name,gsdtaxonguid,gsdnameguid,is_extinct,has_preholocene,has_modern,reference_year
1651,654d63d2-1d61-40f6-87b0-271442745ce7,\N,Geranium,\N,guamanense,\N,\N,\N,Halfd.-Niels.,b74a27ea-e09f-419d-8185-f3c3312d1334,\N,\N,5,48,\N,\N,\N,\N,0,\N,\N,0,0,0,1996
10332,243713bc-6c32-496b-a56e-0790a35aac1f,\N,Spathularia,\N,flavida,\N,tortuosa,var.,"Mains, 1956",88bdc511-7592-493c-8076-3b787c024304,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1956
5614,ef481d36-ad65-4fc2-9f5f-e9b74a2ffc1e,http://chilobase.bio.unipd.it/sp2000.php?sp1106,Henicops,\N,brevilabiatus,\N,\N,\N,Ribaut (1923),ef481d36-ad65-4fc2-9f5f-e9b74a2ffc1e,\N,2006-02-27,1,42,1,2913,\N,86549e5f-dbc5-460d-9edc-37ea25412837,1,\N,\N,0,0,0,1923
9740,ffea7f65-3184-4f46-ae27-bd584d898e0d,\N,Lophodermium,\N,echinophilum,\N,\N,\N,"Speg., 1877",b9e86234-049b-436f-a24a-10f813487cbc,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1877
5889,4f74ee70-b412-48b0-a21e-5addd3b6f67e,\N,Bothriogaster,\N,cyrenaica,\N,\N,\N,"Verhoeff K. W., 1908",a57974d5-fe47-4b86-a849-e0fb9700258f,\N,\N,5,42,\N,\N,\N,\N,0,\N,\N,0,0,0,1908
9213,37b72ee2-42a6-4477-81ac-e5bfd3add71a,http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=Ploioderma%20cedri,Ploioderma,\N,cedri,\N,\N,\N,"Suj. Singh, S. N. Khan & B. M. Misra, 1987",37b72ee2-42a6-4477-81ac-e5bfd3add71a,\N,2017-10-27,1,25,12,8495,\N,1f4cce8f-ac9b-4d21-b03d-14597f2f4d4c,1,\N,\N,0,0,0,1987
3390,95cbf358-b7a4-4741-8d08-afbd43db0f36,http://chilobase.bio.unipd.it/sp2000.php?sp4269,Pachymerellus,\N,zygethus,\N,\N,\N,"Chamberlin, 1920",95cbf358-b7a4-4741-8d08-afbd43db0f36,\N,2006-02-27,1,42,7,2891,\N,610540a6-12ec-4611-a743-040085db81eb,1,\N,\N,0,0,0,1920
4381,6c6dcce4-945b-4c45-a34a-fb5435e071fd,http://chilobase.bio.unipd.it/sp2000.php?sp3213,Stenophilus,\N,coloradanus,\N,\N,\N,"Chamberlin, 1946",6c6dcce4-945b-4c45-a34a-fb5435e071fd,\N,2006-02-27,1,42,11,2897,\N,d8c3c5bf-535e-474b-936e-c751a5d353be,1,\N,\N,0,0,0,1946
7861,dfd7ae3e-7d6b-4f52-b73e-577314f57fc9,\N,Eupolybothrus,Eupolybothrus,montellicus,\N,\N,\N,Fanzago (1874),a3aede33-a516-4d91-ac30-be6d2a08c06b,\N,\N,5,42,\N,\N,\N,\N,0,\N,\N,0,0,0,1874
2309,3abea73a-d990-42e1-8b9f-c1bc5f14ae60,\N,Geranium,\N,pusillum,\N,humifusa,subsp.,A. Terracc.,83c3a972-07ca-475e-9162-e46b30d3478e,\N,\N,5,48,\N,\N,\N,\N,0,\N,\N,0,0,0,1890
