3398,93dce9a6-9517-4d87-90c9-c596766f0bb6,,Tretechthus,\N,uliginosus,\N,\N,\N,von Porat (1894),93dce9a6-9517-4d87-90c9-c596766f0bb6,\N,2006-02-27,1,42,7,2891,\N,610540a6-12ec-4611-a743-040085db81eb,1,\N,\N,0,0,0,1894
8022,1d4bc2af-1a3b-41c2-8258-4f227e732de3,,Lithobius,Monotarsobius,ercijasus,\N,\N,\N,"Verhoeff, 1943",e7d09a1b-36a2-4674-af7e-83168cbcae40,\N,\N,5,42,\N,\N,\N,\N,0,\N,\N,0,0,0,1943
8122,23141b88-4a92-41a4-9cb6-740aba4e91a4,https://www.biodiversitylibrary.org/page/31191218,Lithobius,Lithobius,popovi,\N,\N,\N,"Matic, 1973",6c4277b1-aa25-42b6-9e82-c1c2d7ea9e41,\N,\N,5,42,\N,\N,\N,\N,0,\N,\N,0,0,0,1973
7017,3f6e53e9-2480-434e-a778-c131acd77c1c,,Lithobius,Ezembius,phulchokensis,\N,\N,\N,"Eason, 1989",3f6e53e9-2480-434e-a778-c131acd77c1c,\N,2006-02-27,1,42,2,2912,\N,4717e5b8-d956-4167-91b0-3ea1b23af5f2,1,\N,\N,0,0,0,1989
2318,e16b6711-d1a9-44b7-a8e7-17876220d0f7,,Geranium,\N,pusillum,\N,villosum,subsp.,(F. Saut.) Graebn. in Asch. & Graebn.,83c3a972-07ca-475e-9162-e46b30d3478e,\N,\N,5,48,\N,\N,\N,\N,0,\N,\N,0,0,0,1913
6042,5f6a1f74-4261-4a9e-a2d0-fc12db46ca1a,https://www.biodiversitylibrary.org/page/25093549,Scutigera,\N,muscivora,\N,\N,\N,"Verhoeff, 1905",c01fc67d-16d3-4186-96f6-2e4146a9d4b0,\N,\N,5,42,\N,\N,\N,\N,0,\N,\N,0,0,0,1905
7492,54eee7e7-76e7-4a38-81c3-5b6e156f1778,https://www.biodiversitylibrary.org/page/11920658,Gosibius,Gosibius,monicus,\N,\N,\N,"Chamberlin, 1912",54eee7e7-76e7-4a38-81c3-5b6e156f1778,\N,2006-02-27,1,42,2,2912,\N,4717e5b8-d956-4167-91b0-3ea1b23af5f2,1,\N,\N,0,0,0,1912
5618,d107cb04-0ef4-475a-9866-35482d904f92,https://www.biodiversitylibrary.org/page/2282551,Henicops,\N,maculatus,\N,\N,\N,"Newport, 1845",d107cb04-0ef4-475a-9866-35482d904f92,\N,2006-02-27,1,42,1,2913,\N,86549e5f-dbc5-460d-9edc-37ea25412837,1,\N,\N,0,0,0,1845
4398,1a970a96-4165-42b4-a3f9-9caf601dde94,https://www.biodiversitylibrary.org/page/55055084,Orya,\N,panousei,\N,\N,\N,"Demange, 1961",1a970a96-4165-42b4-a3f9-9caf601dde94,\N,2006-04-12,1,42,11,2899,\N,6e177de4-47b6-4747-8cc3-3c5dd023d37d,1,\N,\N,0,0,0,1961
10149,149b9988-0ad5-4aef-b238-a564b84c90e9,https://www.biodiversitylibrary.org/page/31293832,Lophodermium,\N,lineare,\N,\N,\N,"(Peck) Ellis & Everh., 1892",de478f8d-d3b4-4b8f-9692-375480a6d1b1,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1892
8874,e2eb763e-1a24-46e8-a4b0-ef9e36dfdee5,https://www.biodiversitylibrary.org/page/45400237,Lophodermella,\N,concolor,\N,\N,\N,"(Dearn.) Darker, 1967",e2eb763e-1a24-46e8-a4b0-ef9e36dfdee5,\N,2017-10-27,1,25,12,8495,\N,1f4cce8f-ac9b-4d21-b03d-14597f2f4d4c,1,\N,\N,0,0,0,1967
