record_id,author,year,title,source,database_id,reference_code
3321,"Arx, J.A. von",1950,\N,In: Sydowia 4(1-6):393.,25,24cd9847-d0fc-4af9-8297-55842d55aa54
3322,S.T. Tilak,1959,\N,In: Sydowia 13(1-6):27.,25,de95b1f5-0d0e-481c-93db-92adfcfadabf
3323,I. Hino & Katum.,1957,\N,"In: Bull. Faculty of Agriculture, Yamaguchi University 8:645.",25,b1151c64-487f-486d-b885-1df69e004dd8
3324,Arx & E. Müll.,1975,\N,In: Stud. Mycol. 9:133.,25,8fa9a098-f5db-4827-a28b-b9f5b71646ae
3325,"Tilak, Talde",1978,\N,In: Biovigyanam 3(2):245.,25,e4b4dabf-0ccf-406d-a227-5e434bbe9b3d
3326,"Minter, Staley, Millar",1978,\N,In: Trans. Br. mycol. Soc. 71(2):300.,25,3b619bac-bcfd-47ac-b0d3-9e2ff43149db
3327,S. Ahmad,1971,\N,"In: Biologia, Lahore 17(2):82.",25,2b2dec82-2012-48cb-8042-c962dc111ef4
3328,C.A. Terrier,1977,\N,In: Beitr. Kryptfl. Schweiz 15(no. 1):15.,25,ec71936f-7294-4986-8355-fe96a10b1917
3329,"Dennis, Spooner",1977,\N,In: Kew Bull. 32(1):115.,25,9d3b501c-8ee7-4220-81b4-d5f6a371a1f7
3330,"W. Stahl ex Minter, Millar",1978,\N,In: Trans. Br. mycol. Soc. 71(2):336.,25,b0619374-a0e4-40e3-bb24-5a1b7d4dbbc6
3331,C.L. Spegazzini,1912,\N,In: Anal. Mus. nac. Hist. nat. B. Aires 23:88.,25,54c08bbc-e118-420f-824b-84051be79624
3332,"C.L. Hou, Y.R. Lin, M. Piepenbring",2005,Species of Rhytismataceae on needles of Juniperus spp. from China,In: Can. J. Bot. 83(1):40.,25,c079f7a6-ee5c-42a6-a16d-d80e2433835f
3333,A. Graniti,1952,\N,In: Nuovo G. bot. ital. 59:40.,25,8abfe508-3dcf-45ad-9231-1c1951b8f2ab
3334,"Y.R. Lin, S.M. Yu, Y.F. He, S.J. Wang",2005,[A new species and two new Chinese records of Lophodermium Chev.],In: Mycosystema 24(1):2.,25,382bba24-16dc-49fb-9ed4-561edf30ac44
3335,G.D. Darker,1967,\N,In: Can. J. Bot. 45:1430.,25,6b1ab530-ca68-4a4f-a269-fce648a595b5
3336,F. Petrak,1963,\N,In: Sydowia 16(1-6):179.,25,91b712d1-f6b4-4fab-853c-e1cae862850c
3337,G.D. Darker,1967,\N,In: Can. J. Bot. 45:1433.,25,25374bee-ab4c-48c1-92c4-d930fb7b02b7
3338,"P.R. Johnston, C. Scheuer",2003,Lophodermium eriophori comb. nov.,In: Mycotaxon 87:490.,25,951c12ab-0f9e-4a72-a26d-f173f72b8343
3339,"S. Sokolski, Y. Piché, J.A. Bérubé",2004,"Lophodermium macci sp. nov., a new species on senesced foliage of five-needle pines",In: Mycologia 96(6):1262.,25,8704b55a-bafc-415c-b277-26b06d5b7a35
3340,"Y.R. Lin, Z.S. Xu, K. Li",2001,[Two new species of the genus Lophodermium from the Huangshan Mountains],In: Mycosystema 20(4):458.,25,1e7b74fa-b18e-4ff8-bc32-084f7ff5ec5c
3341,"Y.R. Lin, Z.S. Xu, K. Li",2001,[Two new species of the genus Lophodermium from the Huangshan Mountains],In: Mycosystema 20(4):457.,25,54c1ab4f-cb94-4dff-9b13-408d978eaab5
3342,F.F. Chevallier,1826,\N,In: Fl. gén. env. Paris (Paris) 1:436.,25,b651efce-c074-4798-a31d-c0bb78b58257
3343,"Y.R. Lin, Z.S. Xu, G.B. Yie, S.J. Wang",2004,[Additional species of Lophodermium Chev. from China I],In: Mycosystema 23(1):15.,25,f9d79856-41c2-446f-a59b-2f3be3417391
3344,A.C. Hilitzer,1929,\N,In: V?d. Spisy ?sl. Akad. zem?d. 3:93.,25,5346cac5-d035-4493-b2ec-b7b0ca766262
3345,G.D. Darker,1932,\N,In: Contr. Arnold Arbor. 1:79.,25,9aad2d34-d419-45dd-870b-6a08a50ecbc0
3346,A.C. Hilitzer,1929,\N,In: V?d. Spisy ?sl. Akad. zem?d. 3:76.,25,b6bc85ae-9236-4b12-8d7b-bea3bd2743e2
